timestamp_utc,timestamp_copenhagen,source_window_end_utc,btc_open,btc_high,btc_low,btc_close,btc_volume,btc_quote_volume,btc_trade_count,btc_taker_buy_base_volume,btc_taker_buy_quote_volume,btc_taker_sell_quote_volume,btc_taker_buy_quote_share,btc_return_1h_pct,btc_range_1h_pct,eth_open,eth_high,eth_low,eth_close,eth_volume,eth_quote_volume,eth_trade_count,eth_taker_buy_base_volume,eth_taker_buy_quote_volume,eth_taker_sell_quote_volume,eth_taker_buy_quote_share,eth_return_1h_pct,eth_range_1h_pct,ethbtc_open,ethbtc_high,ethbtc_low,ethbtc_close,ethbtc_return_1h_pct,ethbtc_range_1h_pct,derived_ethbtc_close,ethbtc_direct_minus_derived_bps,btc_open_interest,btc_open_interest_value,btc_oi_change_1h_pct,btc_open_interest_source,eth_open_interest,eth_open_interest_value,eth_oi_change_1h_pct,eth_open_interest_source,btc_long_short_ratio,btc_long_account,btc_short_account,btc_long_short_source,eth_long_short_ratio,eth_long_account,eth_short_account,eth_long_short_source,btc_funding_event_rate,btc_funding_source,eth_funding_event_rate,eth_funding_source,btc_price_oi_state,eth_price_oi_state,spot_status,derivatives_status,btc_return_4h_pct,eth_return_4h_pct,ethbtc_return_4h_pct,eth_minus_btc_return_4h_pct,btc_oi_change_4h_pct,eth_oi_change_4h_pct,btc_return_12h_pct,eth_return_12h_pct,ethbtc_return_12h_pct,eth_minus_btc_return_12h_pct,btc_oi_change_12h_pct,eth_oi_change_12h_pct,btc_return_24h_pct,eth_return_24h_pct,ethbtc_return_24h_pct,eth_minus_btc_return_24h_pct,btc_oi_change_24h_pct,eth_oi_change_24h_pct,btc_return_48h_pct,eth_return_48h_pct,ethbtc_return_48h_pct,eth_minus_btc_return_48h_pct,btc_oi_change_48h_pct,eth_oi_change_48h_pct,btc_return_72h_pct,eth_return_72h_pct,ethbtc_return_72h_pct,eth_minus_btc_return_72h_pct,btc_oi_change_72h_pct,eth_oi_change_72h_pct
2026-08-08T08:00:00Z,2026-08-08T10:00:00+02:00,2026-08-08T22:00:00Z,64959.99,65020.5,64948.56,64993.87,150.80437,,,,,,,0.0521551804426,0.110764580462,1915.11,1917.73,1914.58,1916.85,1481.4706,,,,,,,0.0908563998935,0.164526945858,0.02949,0.0295,0.02947,0.0295,0.0339097999322,0.101798439091,0.0294927813962,2.44758327464,3138812.78,31388.1278,,OKX_CONTRACT_OI_HISTORY,6773197.22,677319.722,,OKX_CONTRACT_OI_HISTORY,1.16,0.537037037037,0.462962962963,OKX_GLOBAL_ACCOUNT_RATIO,1.38,0.579831932773,0.420168067227,OKX_GLOBAL_ACCOUNT_RATIO,3.55955914474e-05,OKX_FUNDING_HISTORY,3.59142764991e-05,OKX_FUNDING_HISTORY,UNAVAILABLE,UNAVAILABLE,PASS,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-08T09:00:00Z,2026-08-08T11:00:00+02:00,2026-08-08T22:00:00Z,64993.88,65050,64992.98,64994.31,303.53576,,,,,,,0.000676986921988,0.0877325520387,1916.85,1923.22,1916.25,1918.95,3514.2564,,,,,,,0.109554738242,0.363731245923,0.0295,0.02956,0.02948,0.02953,0.101694915254,0.271370420624,0.029524892256,1.72997889471,3131643.25,31316.4325,-0.228415343715,OKX_CONTRACT_OI_HISTORY,6766577.57,676657.757,-0.0977330171408,OKX_CONTRACT_OI_HISTORY,1.16,0.537037037037,0.462962962963,OKX_GLOBAL_ACCOUNT_RATIO,1.38,0.579831932773,0.420168067227,OKX_GLOBAL_ACCOUNT_RATIO,,,,,PRICE_UP_OI_DOWN,PRICE_UP_OI_DOWN,PASS,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-08T10:00:00Z,2026-08-08T12:00:00+02:00,2026-08-08T22:00:00Z,64994.31,65022.43,64994.31,65005.87,144.30853,,,,,,,0.0177861723588,0.0432653258416,1918.94,1922.72,1918.94,1921.17,2167.1079,,,,,,,0.115688267021,0.196983751446,0.02953,0.02957,0.02952,0.02955,0.0677277345073,0.169376693767,0.0295537926037,-1.28328830869,3137490.86,31374.9086,0.18672656919,OKX_CONTRACT_OI_HISTORY,6766140.07,676614.007,-0.00646560237393,OKX_CONTRACT_OI_HISTORY,1.16,0.537037037037,0.462962962963,OKX_GLOBAL_ACCOUNT_RATIO,1.37,0.57805907173,0.42194092827,OKX_GLOBAL_ACCOUNT_RATIO,,,,,PRICE_UP_OI_UP,PRICE_UP_OI_DOWN,PASS,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-08T11:00:00Z,2026-08-08T13:00:00+02:00,2026-08-08T22:00:00Z,65005.88,65024.1,64957,64967.35,178.16146,,,,,,,-0.059256187172,0.103299105562,1921.18,1923.57,1919.53,1920.99,2555.556,,,,,,,-0.00936929058855,0.210468187525,0.02956,0.02957,0.02955,0.02957,0.0676818950931,0.0676818950931,0.0295685448152,0.492139469752,3140727.74,31407.2774,0.103167790583,OKX_CONTRACT_OI_HISTORY,6777784.17,677778.417,0.17209368827,OKX_CONTRACT_OI_HISTORY,1.16,0.537037037037,0.462962962963,OKX_GLOBAL_ACCOUNT_RATIO,1.36,0.576271186441,0.423728813559,OKX_GLOBAL_ACCOUNT_RATIO,,,,,PRICE_DOWN_OI_UP,PRICE_DOWN_OI_UP,PASS,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-08T12:00:00Z,2026-08-08T14:00:00+02:00,2026-08-08T22:00:00Z,64967.36,65050.55,64924,65008.34,234.45077,,,,,,,0.0630932306766,0.194920214405,1920.99,1922.47,1918.7,1919.19,2376.3197,,,,,,,-0.0937016850686,0.196487204878,0.02957,0.02958,0.02953,0.02953,-0.135272235374,0.169319336268,0.0295222120731,2.63798894325,3132993.05,31329.9305,-0.246270630258,OKX_CONTRACT_OI_HISTORY,6776614.97,677661.497,-0.0172504755341,OKX_CONTRACT_OI_HISTORY,1.16,0.537037037037,0.462962962963,OKX_GLOBAL_ACCOUNT_RATIO,1.35,0.574468085106,0.425531914894,OKX_GLOBAL_ACCOUNT_RATIO,,,,,PRICE_UP_OI_DOWN,PRICE_DOWN_OI_DOWN,PASS,PASS,0.0222636380939,0.122075279756,0.101694915254,0.099811641662,-0.185411823129,0.0504599214963,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-08T13:00:00Z,2026-08-08T15:00:00+02:00,2026-08-08T22:00:00Z,65008.33,65018,65000,65015.27,187.85749,,,,,,,0.0106601706796,0.0276923076923,1919.2,1920.55,1918.61,1920,1981.2186,,,,,,,0.0422053053632,0.101114869619,0.02953,0.02954,0.02951,0.02952,-0.0338638672536,0.101660454083,0.029531523902,-3.9022375,3103410.57,31034.1057,-0.944224245885,OKX_CONTRACT_OI_HISTORY,6740551.99,674055.199,-0.532168053809,OKX_CONTRACT_OI_HISTORY,1.16,0.537037037037,0.462962962963,OKX_GLOBAL_ACCOUNT_RATIO,1.35,0.574468085106,0.425531914894,OKX_GLOBAL_ACCOUNT_RATIO,,,,,PRICE_UP_OI_DOWN,PRICE_UP_OI_DOWN,PASS,PASS,0.032248976872,0.054717423591,-0.0338638672536,0.022468446719,-0.901529253053,-0.384619547042,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-08T14:00:00Z,2026-08-08T16:00:00+02:00,2026-08-08T22:00:00Z,65015.27,65192.54,65015.27,65129.02,356.35929,,,,,,,0.174958898117,0.272659023026,1920,1926.72,1919.99,1923.77,5059.4611,,,,,,,0.196354166667,0.350522658972,0.02953,0.02955,0.02952,0.02954,0.0677506775068,0.10162601626,0.0295378312156,0.73423954007,3101276.81,31012.7681,-0.0687553242432,OKX_CONTRACT_OI_HISTORY,6733820.66,673382.066,-0.0998631864272,OKX_CONTRACT_OI_HISTORY,1.16,0.537037037037,0.462962962963,OKX_GLOBAL_ACCOUNT_RATIO,1.35,0.574468085106,0.425531914894,OKX_GLOBAL_ACCOUNT_RATIO,,,,,PRICE_UP_OI_DOWN,PRICE_UP_OI_DOWN,PASS,PASS,0.189444430172,0.13533419739,-0.0338409475465,-0.0541102327821,-1.15423603178,-0.47766392161,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-08T15:00:00Z,2026-08-08T17:00:00+02:00,2026-08-08T22:00:00Z,65129.01,65149.57,65061.31,65080.82,186.5848,,,,,,,-0.0740069480548,0.135656659849,1923.78,1924.56,1921.35,1922.62,2945.8968,,,,,,,-0.0597784558445,0.167070028886,0.02954,0.02956,0.02953,0.02954,0,0.101591601761,0.0295420371163,-0.68956528071,3100347.77,31003.4777,-0.0299566938689,OKX_CONTRACT_OI_HISTORY,6774055.44,677405.544,0.597502993197,OKX_CONTRACT_OI_HISTORY,1.16,0.537037037037,0.462962962963,OKX_GLOBAL_ACCOUNT_RATIO,1.35,0.574468085106,0.425531914894,OKX_GLOBAL_ACCOUNT_RATIO,,,,,PRICE_DOWN_OI_DOWN,PRICE_DOWN_OI_UP,PASS,PASS,0.174656962305,0.0848520814788,-0.10145417653,-0.0898048808261,-1.28568832904,-0.0550139972958,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-08T16:00:00Z,2026-08-08T18:00:00+02:00,2026-08-08T22:00:00Z,65080.83,65116.82,65039,65086.45,128.83529,,,,,,,0.00865078221202,0.119651286151,1922.63,1925,1921.65,1922.46,2239.3085,,,,,,,-0.0083219773018,0.174329352379,0.02955,0.02956,0.02954,0.02955,0.0338524035207,0.0677048070413,0.0295370234511,4.39331637589,3097670.3,30976.703,-0.086360311766,OKX_CONTRACT_OI_HISTORY,6756352.93,675635.293,-0.261328094475,OKX_CONTRACT_OI_HISTORY,1.16,0.537037037037,0.462962962963,OKX_GLOBAL_ACCOUNT_RATIO,1.34,0.57264957265,0.42735042735,OKX_GLOBAL_ACCOUNT_RATIO,2.5113246157e-05,OKX_FUNDING_HISTORY,-2.156013378e-06,OKX_FUNDING_HISTORY,PRICE_UP_OI_DOWN,PRICE_DOWN_OI_DOWN,PASS,PASS,0.120153814111,0.170384380911,0.0677277345073,0.0502305668001,-1.12744425016,-0.298999428029,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-08T17:00:00Z,2026-08-08T19:00:00+02:00,2026-08-08T22:00:00Z,65086.46,65150,65075.46,65119.75,187.72596,,,,,,,0.0511627228094,0.114543946366,1922.45,1926.45,1922.25,1923.85,3927.5413,,,,,,,0.0723031948649,0.2184939524,0.02954,0.02957,0.02953,0.02955,0,0.135455469015,0.0295432645242,2.27986849287,3098309.57,30983.0957,0.0206371220333,OKX_CONTRACT_OI_HISTORY,6755062.09,675506.209,-0.0191055738706,OKX_CONTRACT_OI_HISTORY,1.16,0.537037037037,0.462962962963,OKX_GLOBAL_ACCOUNT_RATIO,1.33,0.570815450644,0.429184549356,OKX_GLOBAL_ACCOUNT_RATIO,,,,,PRICE_UP_OI_UP,PRICE_UP_OI_DOWN,PASS,PASS,0.160700709233,0.200520833333,0.10162601626,0.0398201240999,-0.164367552567,0.215265753035,,,,,,,,,,,,,,,,,,,,,,,,
