timestamp_utc,timestamp_copenhagen,source_window_end_utc,btc_open,btc_high,btc_low,btc_close,btc_volume,btc_quote_volume,btc_trade_count,btc_taker_buy_base_volume,btc_taker_buy_quote_volume,btc_taker_sell_quote_volume,btc_taker_buy_quote_share,btc_return_1h_pct,btc_range_1h_pct,eth_open,eth_high,eth_low,eth_close,eth_volume,eth_quote_volume,eth_trade_count,eth_taker_buy_base_volume,eth_taker_buy_quote_volume,eth_taker_sell_quote_volume,eth_taker_buy_quote_share,eth_return_1h_pct,eth_range_1h_pct,ethbtc_open,ethbtc_high,ethbtc_low,ethbtc_close,ethbtc_return_1h_pct,ethbtc_range_1h_pct,btc_open_interest,btc_open_interest_value,btc_oi_change_1h_pct,btc_open_interest_source,eth_open_interest,eth_open_interest_value,eth_oi_change_1h_pct,eth_open_interest_source,btc_long_short_ratio,btc_long_account,btc_short_account,btc_long_short_source,eth_long_short_ratio,eth_long_account,eth_short_account,eth_long_short_source,btc_funding_event_rate,btc_funding_source,eth_funding_event_rate,eth_funding_source,btc_price_oi_state,eth_price_oi_state,spot_status,derivatives_status
2026-08-09T00:00:00Z,2026-08-09T02:00:00+02:00,2026-08-10T02:00:00Z,64962.6,64991.93,64958.17,64973.65,214.05253,13907043.069,18975,102.26167,6643913.75126,7263129.31775,0.477737339152,0.0170097871699,0.0519719074598,1916.75,1918.66,1916.34,1918.09,2792.4612,5353808.04345,17426,974.332,1868167.08171,3485640.96174,0.348941737646,0.0699100039129,0.121064111796,0.02952,0.02953,0.0295,0.02952,0,0.101694915254,3075282.57,30752.8257,-0.178776530165,OKX_CONTRACT_OI_HISTORY,6633399.41,663339.941,-0.983523550275,OKX_CONTRACT_OI_HISTORY,1.19,0.543378995434,0.456621004566,OKX_GLOBAL_ACCOUNT_RATIO,1.33,0.570815450644,0.429184549356,OKX_GLOBAL_ACCOUNT_RATIO,4.6530528329e-05,OKX_FUNDING_HISTORY,1.71944578959e-05,OKX_FUNDING_HISTORY,UNAVAILABLE,UNAVAILABLE,PASS,PASS
2026-08-09T01:00:00Z,2026-08-09T03:00:00+02:00,2026-08-10T02:00:00Z,64973.65,65002,64838.33,64861.46,330.74593,21465213.1673,31321,114.06736,7402765.97592,14062447.1914,0.344872697895,-0.172669997761,0.252427846306,1918.08,1920.21,1913.37,1916.14,2176.0306,4171006.75422,21438,886.3063,1698535.9219,2472470.83232,0.407224447714,-0.101663634136,0.357484438452,0.02951,0.02954,0.02951,0.02953,0.0338753387534,0.101660454083,3072318.61,30723.1861,-0.0963800864647,OKX_CONTRACT_OI_HISTORY,6696970.57,669697.057,0.958349649565,OKX_CONTRACT_OI_HISTORY,1.19,0.543378995434,0.456621004566,OKX_GLOBAL_ACCOUNT_RATIO,1.33,0.570815450644,0.429184549356,OKX_GLOBAL_ACCOUNT_RATIO,,,,,PRICE_DOWN_OI_DOWN,PRICE_DOWN_OI_UP,PASS,PASS
2026-08-09T02:00:00Z,2026-08-09T04:00:00+02:00,2026-08-10T02:00:00Z,64861.46,64863.16,64777.92,64820.01,255.40052,16557890.285,32270,115.37589,7479898.96217,9077991.32288,0.45174227111,-0.0639054378363,0.131588047285,1916.15,1916.71,1913.64,1914.8,1341.9749,2570487.77608,14559,520.0159,996064.30578,1574423.4703,0.387500113811,-0.069932259647,0.160427248594,0.02954,0.02956,0.02953,0.02954,0.0338638672536,0.101591601761,3090244.07,30902.4407,0.583450555605,OKX_CONTRACT_OI_HISTORY,6733291.42,673329.142,0.542347463235,OKX_CONTRACT_OI_HISTORY,1.16,0.537037037037,0.462962962963,OKX_GLOBAL_ACCOUNT_RATIO,1.33,0.570815450644,0.429184549356,OKX_GLOBAL_ACCOUNT_RATIO,,,,,PRICE_DOWN_OI_UP,PRICE_DOWN_OI_UP,PASS,PASS
2026-08-09T03:00:00Z,2026-08-09T05:00:00+02:00,2026-08-10T02:00:00Z,64820.01,64820.01,64730.08,64788.8,153.75776,9960137.77606,20800,75.15128,4867678.13104,5092459.64502,0.488715943543,-0.0481487121029,0.138930772216,1914.79,1914.79,1912.36,1914.04,2034.9863,3894194.26633,13832,975.1361,1866020.24754,2028174.01878,0.479180061375,-0.0396908293294,0.127068125248,0.02954,0.02955,0.02952,0.02954,0,0.10162601626,3100907.26,31009.0726,0.345059799759,OKX_CONTRACT_OI_HISTORY,6765283.35,676528.335,0.475130630838,OKX_CONTRACT_OI_HISTORY,1.18,0.54128440367,0.45871559633,OKX_GLOBAL_ACCOUNT_RATIO,1.33,0.570815450644,0.429184549356,OKX_GLOBAL_ACCOUNT_RATIO,,,,,PRICE_DOWN_OI_UP,PRICE_DOWN_OI_UP,PASS,PASS
2026-08-09T04:00:00Z,2026-08-09T06:00:00+02:00,2026-08-10T02:00:00Z,64788.8,64826.13,64785,64785,156.31772,10130796.7939,13624,84.20076,5456784.08532,4674012.70863,0.538633258203,-0.00586521127108,0.0634869182681,1914.04,1915.63,1912.99,1913.16,1394.2198,2668513.10099,13444,688.5663,1317838.30531,1350674.79568,0.493847418183,-0.0459760506572,0.138003857835,0.02954,0.02955,0.02952,0.02953,-0.0338524035207,0.10162601626,3125364.93,31253.6493,0.788726264584,OKX_CONTRACT_OI_HISTORY,6827330.47,682733.047,0.917140004195,OKX_CONTRACT_OI_HISTORY,1.19,0.543378995434,0.456621004566,OKX_GLOBAL_ACCOUNT_RATIO,1.35,0.574468085106,0.425531914894,OKX_GLOBAL_ACCOUNT_RATIO,,,,,PRICE_DOWN_OI_UP,PRICE_DOWN_OI_UP,PASS,PASS
2026-08-09T05:00:00Z,2026-08-09T07:00:00+02:00,2026-08-10T02:00:00Z,64785.01,64801.58,64777,64801.58,194.39306,12594126.919,15456,101.16886,6554381.05664,6039745.86238,0.520431555025,0.0255923439068,0.0379455670994,1913.17,1915.04,1913.11,1914.46,1455.4914,2785947.0483,10945,624.699,1195697.43048,1590249.61782,0.429188857414,0.067950406657,0.100882855664,0.02952,0.02955,0.02952,0.02954,0.0338638672536,0.10162601626,3121078.03,31210.7803,-0.137164782226,OKX_CONTRACT_OI_HISTORY,6813756.39,681375.639,-0.198819729902,OKX_CONTRACT_OI_HISTORY,1.2,0.545454545455,0.454545454545,OKX_GLOBAL_ACCOUNT_RATIO,1.36,0.576271186441,0.423728813559,OKX_GLOBAL_ACCOUNT_RATIO,,,,,PRICE_UP_OI_DOWN,PRICE_UP_OI_DOWN,PASS,PASS
2026-08-09T06:00:00Z,2026-08-09T08:00:00+02:00,2026-08-10T02:00:00Z,64801.57,64867.11,64801.57,64849.99,216.36529,14028190.8249,20930,98.44055,6382436.11728,7645754.70762,0.454972148365,0.0747049686134,0.10113952486,1914.45,1919.51,1912.83,1919.33,4314.9898,8267254.58815,16396,1504.8917,2884442.46118,5382812.12697,0.348899677689,0.25437982512,0.349220788047,0.02954,0.02959,0.02953,0.02959,0.169262017603,0.203183203522,3116410.73,31164.1073,-0.149541278851,OKX_CONTRACT_OI_HISTORY,6813658.52,681365.852,-0.00143635895381,OKX_CONTRACT_OI_HISTORY,1.2,0.545454545455,0.454545454545,OKX_GLOBAL_ACCOUNT_RATIO,1.37,0.57805907173,0.42194092827,OKX_GLOBAL_ACCOUNT_RATIO,,,,,PRICE_UP_OI_DOWN,PRICE_UP_OI_DOWN,PASS,PASS
2026-08-09T07:00:00Z,2026-08-09T09:00:00+02:00,2026-08-10T02:00:00Z,64850,64860.01,64826.14,64826.14,338.38864,21942571.8901,18781,154.2898,10004758.435,11937813.4551,0.455951949715,-0.0367771837744,0.0522474421584,1919.34,1919.79,1917.14,1918.97,4950.8116,9497103.45445,21755,2894.2943,5551772.37721,3945331.07724,0.584575329082,-0.0187565452528,0.138226733572,0.02959,0.0296,0.02957,0.0296,0.0337952010814,0.10145417653,3105112.77,31051.1277,-0.362531160968,OKX_CONTRACT_OI_HISTORY,6766447.35,676644.735,-0.692890168496,OKX_CONTRACT_OI_HISTORY,1.22,0.54954954955,0.45045045045,OKX_GLOBAL_ACCOUNT_RATIO,1.38,0.579831932773,0.420168067227,OKX_GLOBAL_ACCOUNT_RATIO,,,,,PRICE_DOWN_OI_DOWN,PRICE_DOWN_OI_DOWN,PASS,PASS
2026-08-09T08:00:00Z,2026-08-09T10:00:00+02:00,2026-08-10T02:00:00Z,64826.15,64960.06,64792.1,64824.16,328.93534,21343277.3953,43973,189.76912,12313792.176,9029485.21923,0.576940080382,-0.00305432345655,0.259229134416,1918.97,1925,1914,1915.94,4019.2402,7715216.97765,37617,1825.3253,3504382.35777,4210834.61988,0.454216954354,-0.157897205272,0.574712643678,0.0296,0.02964,0.02955,0.02955,-0.168918918919,0.304568527919,3100283.59,31002.8359,-0.155523498105,OKX_CONTRACT_OI_HISTORY,6724806.51,672480.651,-0.615401817913,OKX_CONTRACT_OI_HISTORY,1.22,0.54954954955,0.45045045045,OKX_GLOBAL_ACCOUNT_RATIO,1.37,0.57805907173,0.42194092827,OKX_GLOBAL_ACCOUNT_RATIO,7.399680428e-06,OKX_FUNDING_HISTORY,6.98565916673e-05,OKX_FUNDING_HISTORY,PRICE_DOWN_OI_DOWN,PRICE_DOWN_OI_DOWN,PASS,PASS
2026-08-09T09:00:00Z,2026-08-09T11:00:00+02:00,2026-08-10T02:00:00Z,64824.17,64877.86,64809.68,64877.85,149.22124,9673240.72561,19330,94.33882,6115588.69788,3557652.02774,0.632217151557,0.0828240581906,0.105200334271,1915.94,1921.45,1913.39,1921.45,4402.5705,8435395.29136,31737,2956.8843,5665851.42826,2769543.86311,0.671675864918,0.287587293965,0.421241879596,0.02956,0.02962,0.02953,0.02961,0.203045685279,0.304774805283,3087135.09,30871.3509,-0.424106363767,OKX_CONTRACT_OI_HISTORY,6687956.99,668795.699,-0.54796401867,OKX_CONTRACT_OI_HISTORY,1.22,0.54954954955,0.45045045045,OKX_GLOBAL_ACCOUNT_RATIO,1.38,0.579831932773,0.420168067227,OKX_GLOBAL_ACCOUNT_RATIO,,,,,PRICE_UP_OI_DOWN,PRICE_UP_OI_DOWN,PASS,PASS
